metric_id,timestamp,cloud_provider,service,environment,region_cloud,requests_count,latence_p95_ms,latence_p99_ms,error_rate_pct,uptime_pct,cpu_pct,ram_pct,cout_compute_usd,cout_storage_usd,cout_network_usd,nb_incidents,mttr_minutes,sla_respecte,mode_traitement,cout_total_usd
FIN-00011,2026-01-13 13:45,Azure,Notification Worker,prod,eu-west-1,66662.0,486.7,340.4,3.722,99.4532,9.11,67.03,212.17,15.07,16.36,0,30.2,False,synchrone,243.59999999999997
FIN-00012,2026-05-16 14:00,Private Cloud,Notification Worker,prod,francecentral,73071.0,156.6,332.8,7.095,99.6242,85.35,34.08,119.36,21.34,4.63,1,18.6,False,synchrone,145.32999999999998
FIN-00013,2026-06-10 13:45,GCP,Risk Engine,staging,eu-central-1,39924.0,77.6,382.2,1.798,98.68,43.61,34.15,117.71,12.35,26.72,0,44.0,False,batch,156.78
FIN-00014,2026-06-28 15:45,GCP,Reconciliation Job,staging,eu-central-1,88281.0,175.0,574.3,7.24,99.8366,23.88,87.68,103.25,20.09,17.3,0,42.2,False,streaming,140.64000000000001
FIN-00015,2026-05-25 17:30,Azure,Notification Worker,dev,eu-central-1,79946.0,36.3,176.6,1.334,96.8443,76.13,79.06,71.32,12.93,8.66,0,89.2,False,batch,92.91
FIN-00016,2026-02-09 10:45,AWS,Notification Worker,staging,westeurope,34672.0,338.5,517.4,0.937,97.8157,25.34,27.83,67.36,18.17,7.32,0,7.6,False,streaming,92.85
FIN-00017,2026-01-27 20:45,Azure,Risk Engine,staging,francecentral,17372.0,288.7,307.0,1.292,97.4677,65.66,26.24,74.46,21.54,16.31,0,68.2,False,asynchrone,112.31
FIN-00018,2026-04-17 11:30,GCP,Notification Worker,dev,eu-central-1,74508.0,58.3,52.8,3.599,96.8869,82.64,75.53,135.47,23.54,39.18,0,36.4,False,streaming,198.19
FIN-00019,2026-06-25 17:30,GCP,API Payment,dev,westeurope,5306.0,32.9,365.2,7.44,98.1898,,65.68,77.6,22.45,16.66,0,25.0,False,streaming,116.71
FIN-00020,2026-04-28 06:30,Private Cloud,Notification Worker,staging,westeurope,27190.0,351.1,919.9,4.815,98.14,67.54,84.55,115.81,22.5,8.15,0,24.5,False,batch,146.46
FIN-00021,2026-05-22 07:15,AWS,Ledger Service,dev,eu-west-1,76749.0,315.2,662.4,4.161,99.6983,57.0,80.12,90.35,25.33,4.96,1,80.2,False,synchrone,120.63999999999999
FIN-00022,2026-06-28 17:00,GCP,Kafka Events,dev,westeurope,75006.0,39.9,588.1,10.547,97.1851,10.48,93.56,46.22,36.37,4.38,0,92.2,False,streaming,86.97
FIN-00023,2026-03-26 21:30,GCP,Kafka Events,staging,eu-west-1,51919.0,117.2,204.0,3.734,98.2062,62.48,48.41,177.05,16.59,16.53,1,18.3,False,batch,210.17000000000002
FIN-00024,2026-01-22 16:45,Azure,Notification Worker,prod,westeurope,53637.0,395.1,582.3,4.125,97.0766,94.54,49.45,113.24,20.0,7.58,0,62.8,False,synchrone,140.82000000000002
FIN-00025,2026-03-10 14:45,Private Cloud,Auth Service,prod,eu-west-1,61334.0,286.5,312.6,2.966,99.1859,66.99,27.47,119.4,25.9,12.74,0,5.4,False,synchrone,158.04000000000002
FIN-00026,2026-03-18 22:45,Azure,Reconciliation Job,staging,eu-west-1,41527.0,157.7,198.3,4.85,98.8633,61.13,16.33,59.37,18.76,15.6,0,48.9,False,streaming,93.72999999999999
FIN-00027,2026-04-12 07:00,AWS,Kafka Events,prod,eu-central-1,14763.0,338.2,190.4,7.575,97.9859,57.61,78.63,74.82,14.88,10.37,1,33.3,False,batch,100.07
FIN-00028,2026-01-16 06:00,AWS,Risk Engine,prod,westeurope,33220.0,110.3,174.6,4.724,98.4821,46.24,29.01,294.77,36.6,21.09,0,7.5,False,streaming,352.46
FIN-00029,2026-05-26 11:30,Private Cloud,Risk Engine,dev,francecentral,81320.0,24.0,656.5,9.707,98.0539,86.17,22.73,97.41,14.09,3.49,2,44.6,False,streaming,114.99
FIN-00030,2026-04-25 17:30,Azure,Reconciliation Job,prod,westeurope,4196.0,101.7,140.4,1.529,99.0083,51.65,24.08,82.5,51.94,15.36,0,40.7,False,batch,149.8
FIN-00031,2026-01-17 22:00,GCP,API Payment,dev,eu-central-1,81221.0,224.3,167.3,0.17,97.5838,59.55,54.97,159.55,69.93,12.44,0,16.1,False,synchrone,241.92000000000002
FIN-00032,2026-06-15 20:15,AWS,Risk Engine,dev,eu-central-1,63656.0,257.5,313.2,3.393,99.8452,38.79,32.48,162.46,18.7,23.75,0,74.0,False,asynchrone,204.91
FIN-00033,2026-04-10 17:15,Azure,Kafka Events,prod,eu-west-1,46843.0,154.9,123.9,3.213,97.0976,42.4,19.47,71.83,18.38,18.45,1,45.6,False,synchrone,108.66
FIN-00034,2026-06-16 08:30,AWS,Notification Worker,prod,eu-central-1,78517.0,420.5,134.0,2.264,99.8358,51.29,66.44,155.71,11.02,9.86,0,82.6,False,synchrone,176.59000000000003
FIN-00035,2026-06-18 09:15,Azure,Kafka Events,staging,westeurope,53078.0,150.4,314.5,0.135,99.827,12.92,78.56,172.96,15.65,11.7,0,7.4,True,batch,200.31
FIN-00036,2026-06-23 21:00,GCP,Risk Engine,staging,westeurope,20429.0,88.4,206.7,1.266,98.4264,20.68,81.04,63.57,24.82,18.72,0,41.5,False,streaming,107.11
FIN-00037,2026-01-26 07:00,Azure,Auth Service,staging,eu-central-1,46646.0,204.7,139.3,0.914,97.3212,80.18,26.2,57.88,7.79,37.96,0,72.0,False,synchrone,103.63
FIN-00038,2026-04-04 14:30,GCP,Notification Worker,prod,eu-west-1,46469.0,110.4,183.2,6.899,99.5665,35.1,83.42,156.04,36.68,11.88,1,14.4,False,synchrone,204.6
FIN-00039,2026-05-01 19:30,Private Cloud,Ledger Service,prod,francecentral,67948.0,94.2,147.8,2.52,98.2328,68.45,31.74,58.59,12.26,6.93,0,26.1,False,asynchrone,77.78
FIN-00040,2026-03-13 17:15,GCP,Kafka Events,staging,eu-central-1,9954.0,468.4,341.4,4.238,98.1264,25.23,84.43,33.38,16.49,14.25,0,25.9,False,synchrone,64.12
FIN-00041,2026-03-03 07:45,GCP,Ledger Service,staging,eu-central-1,85721.0,62.8,279.9,3.232,99.715,38.9,56.64,86.18,19.14,19.97,0,63.0,False,batch,125.29
FIN-00042,2026-03-03 16:15,GCP,Kafka Events,prod,westeurope,68076.0,362.5,245.7,0.245,99.0305,44.13,86.34,57.95,17.28,1.16,0,29.1,False,batch,76.39
FIN-00043,2026-04-10 13:00,Azure,Risk Engine,staging,eu-west-1,15899.0,177.8,252.0,1.624,97.7031,95.86,38.46,39.84,30.35,3.08,0,15.8,False,batch,73.27
FIN-00044,2026-06-20 21:45,Private Cloud,Reconciliation Job,prod,eu-west-1,12319.0,173.8,243.7,5.807,98.6721,92.82,28.16,142.14,7.11,8.35,0,28.6,False,asynchrone,157.6
FIN-00045,2026-03-21 06:30,Private Cloud,Reconciliation Job,prod,eu-west-1,83992.0,55.5,340.1,3.013,96.8933,53.62,80.74,81.2,21.42,8.12,0,7.2,False,synchrone,110.74000000000001
FIN-00046,2026-05-27 06:00,Private Cloud,Kafka Events,prod,eu-west-1,54910.0,98.6,512.6,7.076,98.5784,33.71,,174.11,6.48,1.73,0,17.2,False,batch,182.32
FIN-00047,2026-04-11 12:15,GCP,Risk Engine,prod,francecentral,83829.0,372.4,143.6,1.709,97.9881,33.92,22.14,58.57,13.09,5.27,0,41.6,False,streaming,76.92999999999999
FIN-00048,2026-02-09 19:00,Azure,Ledger Service,staging,francecentral,16982.0,488.2,101.4,5.579,99.6022,58.77,18.89,47.36,4.99,2.22,1,15.0,False,batch,54.57
FIN-00049,2026-03-26 22:00,Private Cloud,Ledger Service,dev,eu-central-1,23615.0,159.6,375.1,1.634,98.1431,44.13,44.19,110.67,46.49,3.12,1,18.4,False,batch,160.28
FIN-00050,2026-06-01 22:30,GCP,Ledger Service,staging,eu-west-1,34088.0,108.5,299.6,4.53,96.9188,8.67,20.0,137.07,22.9,4.07,1,94.5,False,synchrone,164.04
FIN-00051,2026-02-21 19:15,GCP,Notification Worker,staging,eu-west-1,5780.0,545.2,695.9,5.374,99.536,63.7,35.62,65.08,17.54,6.0,0,27.7,False,synchrone,88.62
FIN-00052,2026-03-25 22:30,AWS,Ledger Service,staging,westeurope,89187.0,184.0,384.4,,99.6752,29.19,16.72,96.03,37.82,1.55,0,7.4,False,asynchrone,135.4
FIN-00053,2026-05-14 09:00,Azure,Auth Service,staging,eu-central-1,20262.0,289.3,976.2,1.599,97.897,52.95,59.57,208.09,26.58,6.04,0,47.4,False,streaming,240.71
FIN-00054,2026-05-12 15:15,Azure,Notification Worker,staging,francecentral,79887.0,241.5,698.9,6.605,97.2393,60.2,28.82,104.13,27.91,12.36,0,138.0,False,asynchrone,144.39999999999998
FIN-00055,2026-06-19 21:00,Private Cloud,Reconciliation Job,dev,eu-west-1,79128.0,102.7,175.6,0.978,97.3448,72.95,63.36,148.43,25.4,34.16,1,17.5,False,streaming,207.99
FIN-00056,2026-06-09 14:00,Private Cloud,Notification Worker,staging,westeurope,28717.0,266.1,555.7,1.802,98.8056,45.44,17.05,112.65,15.75,17.86,1,15.0,False,streaming,146.26
FIN-00057,2026-05-14 10:45,Azure,Reconciliation Job,prod,francecentral,48871.0,301.9,435.8,0.155,98.1816,49.24,67.78,14.71,20.28,9.33,0,53.2,False,synchrone,44.32
FIN-00058,2026-04-18 20:15,Azure,Reconciliation Job,dev,eu-central-1,8119.0,408.4,662.9,0.858,98.2637,18.98,50.27,139.9,32.17,3.63,0,78.0,False,asynchrone,175.7
FIN-00059,2026-05-02 16:30,GCP,Ledger Service,staging,westeurope,37838.0,307.6,705.9,2.674,97.9253,54.53,15.94,110.48,12.9,1.69,1,27.5,False,asynchrone,125.07000000000001
FIN-00060,2026-06-03 11:00,GCP,Notification Worker,staging,westeurope,40750.0,452.3,172.8,2.722,98.4834,37.57,78.55,106.41,59.43,3.62,1,30.0,False,synchrone,169.46
FIN-00061,2026-06-23 20:00,GCP,Notification Worker,staging,eu-central-1,46220.0,280.9,256.1,0.416,99.3417,93.45,20.86,101.25,16.5,1.04,1,2.0,False,streaming,118.79
FIN-00062,2026-02-08 16:45,GCP,Ledger Service,staging,eu-west-1,13156.0,184.6,153.0,8.225,99.218,13.89,72.39,107.1,12.24,14.08,0,13.0,False,asynchrone,133.42
FIN-00063,2026-06-10 18:15,Private Cloud,API Payment,dev,westeurope,22725.0,327.4,233.1,0.714,97.5883,80.03,32.99,104.22,7.54,27.38,0,16.6,False,asynchrone,139.14000000000001
FIN-00064,2026-05-24 07:00,Azure,Kafka Events,dev,eu-central-1,33096.0,113.4,449.8,1.645,99.0046,19.06,40.07,161.72,31.83,15.76,0,7.1,False,synchrone,209.31
FIN-00065,2026-05-12 19:30,Azure,Notification Worker,dev,eu-central-1,1494.0,60.4,504.6,2.565,97.466,68.9,76.26,89.99,18.2,4.52,0,11.0,False,asynchrone,112.71
FIN-00066,2026-05-07 07:15,Private Cloud,Kafka Events,dev,westeurope,33774.0,180.4,514.0,2.638,97.3918,32.3,63.54,120.74,16.28,16.52,0,51.2,False,streaming,153.54
FIN-00067,2026-06-28 11:00,Private Cloud,Notification Worker,staging,westeurope,62831.0,110.1,142.5,2.218,98.1769,48.44,42.4,208.8,11.05,5.72,2,16.2,False,synchrone,225.57000000000002
FIN-00068,2026-02-25 18:45,GCP,API Payment,prod,eu-central-1,34115.0,257.6,154.2,1.065,99.5587,12.55,39.23,85.06,25.59,8.39,0,14.0,True,synchrone,119.04
FIN-00069,2026-03-25 12:45,Private Cloud,API Payment,staging,eu-central-1,87424.0,302.3,358.4,2.355,97.4794,65.42,44.86,155.51,37.33,1.17,0,3.7,False,batch,194.00999999999996
FIN-00070,2026-02-16 20:15,AWS,Auth Service,dev,eu-west-1,8748.0,376.3,604.7,1.488,99.161,46.95,48.62,76.02,3.54,5.48,0,5.9,False,synchrone,85.04
FIN-00071,2026-05-16 21:45,Private Cloud,Kafka Events,dev,francecentral,6691.0,168.0,398.7,8.25,97.1614,75.36,34.41,123.98,12.86,10.18,1,33.5,False,synchrone,147.02
FIN-00072,2026-02-26 14:45,Private Cloud,Ledger Service,prod,eu-west-1,68529.0,323.0,421.2,6.315,97.8853,35.83,50.26,140.91,12.43,17.37,0,18.0,False,synchrone,170.71
FIN-00073,2026-02-15 13:45,Azure,Reconciliation Job,prod,eu-west-1,77848.0,389.6,652.2,1.602,97.8435,57.12,28.67,68.43,61.33,17.51,0,11.0,False,asynchrone,147.26999999999998
FIN-00074,2026-05-25 13:15,Azure,Kafka Events,staging,westeurope,27200.0,86.6,42.1,3.839,99.4932,26.52,92.09,46.98,13.07,9.21,0,4.4,False,streaming,69.25999999999999
FIN-00075,2026-05-22 17:00,Private Cloud,API Payment,prod,eu-central-1,65271.0,133.2,93.3,2.713,97.6621,15.32,25.37,132.84,6.69,3.23,1,12.6,False,asynchrone,142.76
FIN-00076,2026-02-14 21:00,Private Cloud,Kafka Events,dev,francecentral,40954.0,283.1,339.3,1.574,96.9909,63.01,90.4,200.14,1.63,7.03,0,61.2,False,asynchrone,208.79999999999998
FIN-00077,2026-01-05 07:15,Private Cloud,Kafka Events,prod,eu-central-1,60925.0,132.0,716.5,0.244,98.8725,44.48,93.14,128.93,15.21,22.18,0,99.0,False,synchrone,166.32000000000002
FIN-00078,2026-03-03 22:45,Azure,Reconciliation Job,staging,eu-central-1,83890.0,179.8,502.2,0.132,97.5473,72.3,42.84,64.56,9.98,15.53,1,35.3,False,asynchrone,90.07000000000001
FIN-00079,2026-01-07 06:45,AWS,Ledger Service,prod,francecentral,67881.0,133.3,436.4,3.193,97.4343,76.27,59.11,69.03,16.3,4.77,0,71.8,False,asynchrone,90.1
FIN-00080,2026-05-13 09:15,GCP,Notification Worker,staging,francecentral,19789.0,233.0,405.4,0.037,99.5037,45.93,36.96,39.02,14.71,18.01,0,46.4,True,batch,71.74000000000001
FIN-00081,2026-05-21 20:00,Private Cloud,Notification Worker,prod,westeurope,43137.0,269.0,,15.976,99.0119,89.18,39.56,93.75,9.37,9.64,0,11.3,False,streaming,112.76
FIN-00082,2026-05-28 07:45,GCP,Auth Service,dev,eu-central-1,80581.0,101.1,214.0,2.941,99.4432,81.44,18.31,212.55,19.64,12.16,0,51.3,False,synchrone,244.35
FIN-00083,2026-05-31 20:15,Private Cloud,API Payment,dev,eu-central-1,42875.0,173.4,464.0,1.269,97.9102,70.94,33.69,148.4,24.55,18.91,0,41.7,False,synchrone,191.86
FIN-00084,2026-01-28 16:00,GCP,Ledger Service,staging,eu-central-1,81045.0,411.9,311.4,0.811,98.3313,60.29,21.48,134.35,42.3,8.93,0,31.2,False,asynchrone,185.57999999999998
FIN-00085,2026-02-02 14:15,Azure,Notification Worker,dev,westeurope,13250.0,204.6,188.9,2.685,99.8834,63.83,66.88,38.21,10.65,24.49,0,134.2,False,streaming,73.35
FIN-00086,2026-02-09 17:15,Azure,Reconciliation Job,dev,eu-west-1,24084.0,127.9,812.0,3.716,99.9666,77.83,88.67,45.71,35.82,3.21,0,34.1,False,batch,84.74
FIN-00087,2026-03-07 21:00,AWS,Reconciliation Job,prod,westeurope,7326.0,201.5,250.3,1.339,97.236,13.36,83.83,67.74,8.1,17.6,3,20.5,False,synchrone,93.44
FIN-00088,2026-05-03 06:00,Azure,Kafka Events,dev,francecentral,38972.0,177.2,230.5,4.159,98.7865,61.07,47.73,81.17,25.36,6.83,2,16.2,False,synchrone,113.36
FIN-00089,2026-05-23 18:45,Private Cloud,Auth Service,staging,westeurope,74340.0,186.0,59.6,0.947,99.1395,16.36,57.7,17.67,42.61,32.6,0,24.9,False,synchrone,92.88
FIN-00090,2026-06-25 20:45,AWS,Ledger Service,prod,francecentral,11461.0,471.4,,2.668,98.8263,40.79,45.63,185.15,19.4,3.78,1,40.6,False,asynchrone,208.33
FIN-00091,2026-06-24 06:45,Azure,Auth Service,prod,eu-central-1,55771.0,234.2,618.8,3.812,97.274,77.91,75.36,148.43,32.05,7.17,0,11.1,False,batch,187.65
FIN-00092,2026-03-12 20:45,GCP,API Payment,staging,eu-central-1,80074.0,171.6,292.5,5.415,98.0895,43.53,71.02,134.32,33.06,18.76,0,66.0,False,synchrone,186.14
FIN-00093,2026-06-12 10:30,Azure,Reconciliation Job,dev,eu-west-1,83979.0,61.6,829.3,0.766,98.5415,57.43,82.74,115.8,13.98,12.22,0,55.9,False,streaming,142.0
FIN-00094,2026-04-09 17:45,GCP,Risk Engine,dev,eu-west-1,68488.0,275.2,85.0,1.345,97.7448,29.42,75.22,35.88,22.15,7.28,1,31.9,False,synchrone,65.31
FIN-00095,2026-02-17 19:00,Private Cloud,Kafka Events,dev,westeurope,85243.0,190.5,174.5,2.276,97.5478,59.12,77.8,53.45,26.76,7.68,1,43.6,False,streaming,87.89000000000001
FIN-00096,2026-03-05 10:15,Private Cloud,Kafka Events,staging,westeurope,38055.0,25.4,336.2,0.372,98.5479,31.91,30.44,211.82,34.06,4.3,1,63.6,False,synchrone,250.18
FIN-00097,2026-03-26 14:00,AWS,Kafka Events,prod,eu-central-1,14768.0,98.1,395.1,7.234,97.1042,37.42,,72.6,33.65,4.86,0,28.8,False,streaming,111.11
FIN-00098,2026-03-19 10:45,Azure,Ledger Service,staging,westeurope,,258.0,232.2,1.683,97.8718,9.77,52.17,128.14,56.79,24.26,1,32.0,False,synchrone,209.18999999999997
FIN-00099,2026-06-23 08:45,GCP,Reconciliation Job,prod,westeurope,86985.0,296.6,297.5,3.417,98.5227,78.73,23.22,276.71,52.68,3.9,0,74.5,False,asynchrone,333.28999999999996
FIN-00100,2026-02-03 12:15,Azure,API Payment,dev,eu-west-1,74085.0,137.6,665.6,1.576,97.2726,75.43,24.65,65.55,39.81,18.67,0,8.7,False,synchrone,124.03
FIN-00101,2026-01-16 16:15,AWS,Ledger Service,staging,francecentral,57020.0,252.3,520.0,0.631,99.1292,77.21,40.79,74.42,11.78,4.05,1,20.9,False,synchrone,90.25
FIN-00102,2026-03-26 12:15,GCP,API Payment,staging,westeurope,50073.0,322.3,331.3,4.287,99.1603,69.27,40.39,183.28,30.47,4.83,0,34.8,False,synchrone,218.58
FIN-00103,2026-04-20 11:00,GCP,API Payment,dev,westeurope,72718.0,490.7,443.1,3.262,96.8941,64.01,53.74,143.75,46.34,16.02,0,40.6,False,synchrone,206.11
FIN-00104,2026-01-21 20:00,Private Cloud,Reconciliation Job,prod,westeurope,86685.0,109.7,93.8,1.733,98.6387,72.65,48.44,43.54,19.89,13.84,0,14.6,False,asynchrone,77.27
FIN-00105,2026-02-09 17:00,Azure,Risk Engine,prod,eu-west-1,14040.0,81.7,1016.8,0.001,97.2505,44.39,41.14,137.89,7.91,5.76,0,85.2,False,streaming,151.55999999999997
FIN-00106,2026-04-22 06:45,AWS,Auth Service,staging,westeurope,32086.0,82.5,520.8,6.825,98.471,45.82,57.92,246.5,5.08,1.0,0,2.9,False,asynchrone,252.58
FIN-00107,2026-06-23 15:45,GCP,Ledger Service,prod,eu-west-1,52922.0,31.4,373.0,2.042,98.0144,87.16,61.93,125.61,25.54,28.67,1,35.0,False,streaming,179.82
FIN-00108,2026-03-16 06:45,AWS,Ledger Service,dev,francecentral,,89.4,545.5,4.513,98.5411,89.81,57.45,99.86,16.92,8.01,0,19.8,False,batch,124.79
FIN-00109,2026-06-01 11:00,Azure,API Payment,prod,francecentral,56831.0,233.0,109.4,2.671,96.9734,90.46,55.2,119.4,24.82,13.79,1,28.9,False,asynchrone,158.01
FIN-00110,2026-02-28 20:15,Azure,Kafka Events,staging,francecentral,32531.0,52.8,239.0,2.152,99.0533,47.69,58.95,84.72,17.72,11.06,1,30.3,False,streaming,113.5
FIN-00111,2026-04-22 07:00,Azure,Ledger Service,dev,eu-central-1,69839.0,236.7,249.3,2.602,98.7939,63.29,15.76,156.21,19.22,14.01,1,22.2,False,asynchrone,189.44
FIN-00112,2026-06-02 18:30,GCP,Risk Engine,dev,westeurope,31547.0,118.2,181.7,0.779,99.5072,50.4,61.81,146.7,29.57,9.26,0,60.2,True,asynchrone,185.52999999999997
FIN-00113,2026-06-29 15:30,AWS,Kafka Events,staging,eu-central-1,14094.0,183.0,324.1,1.38,98.4808,71.6,86.49,75.0,22.13,5.79,1,15.7,False,streaming,102.92
FIN-00114,2026-03-05 17:15,AWS,Kafka Events,dev,westeurope,65143.0,148.2,323.2,2.592,97.4188,36.07,64.96,50.24,20.79,6.43,0,14.6,False,batch,77.46000000000001
FIN-00115,2026-01-14 11:00,AWS,Ledger Service,prod,eu-west-1,29757.0,56.3,181.8,1.137,98.0729,88.03,57.28,34.32,53.97,15.58,0,8.4,False,batch,103.86999999999999
FIN-00116,2026-04-28 06:15,Azure,Reconciliation Job,dev,eu-central-1,41576.0,216.4,155.5,2.73,96.8687,63.31,91.48,100.94,20.51,12.16,2,21.0,False,streaming,133.61
FIN-00117,2026-05-07 08:45,Private Cloud,Auth Service,prod,eu-central-1,89781.0,83.3,469.4,1.166,98.7484,50.48,80.54,131.56,63.31,19.52,0,13.4,False,batch,214.39000000000001
FIN-00118,2026-05-10 18:45,Azure,Kafka Events,prod,eu-central-1,57297.0,98.8,322.9,7.906,97.9843,79.28,72.98,43.87,22.05,10.59,0,11.8,False,synchrone,76.51
FIN-00119,2026-01-01 20:15,AWS,API Payment,staging,eu-central-1,14927.0,221.5,867.6,2.432,99.3044,49.92,43.09,67.52,17.27,39.5,1,62.2,False,synchrone,124.28999999999999
FIN-00120,2026-03-01 22:00,Private Cloud,Auth Service,staging,westeurope,54061.0,207.9,186.0,9.734,98.4931,20.8,84.78,71.56,26.64,10.29,1,9.2,False,synchrone,108.49000000000001
FIN-00121,2026-03-18 13:30,Private Cloud,Ledger Service,staging,westeurope,34163.0,449.1,136.4,2.114,99.6027,23.65,29.5,150.58,11.09,16.15,0,25.4,False,asynchrone,177.82000000000002
FIN-00122,2026-02-27 09:15,GCP,Notification Worker,dev,eu-central-1,70677.0,157.5,807.3,3.64,97.0978,32.91,75.75,110.65,20.71,26.7,0,1.3,False,synchrone,158.06
FIN-00123,2026-02-03 08:30,AWS,API Payment,staging,westeurope,73660.0,76.6,216.8,0.431,99.975,58.86,88.15,157.37,59.8,13.98,1,49.1,True,asynchrone,231.15
FIN-00124,2026-05-28 15:15,Azure,Auth Service,staging,eu-west-1,30668.0,481.3,564.7,1.887,96.9045,33.7,74.0,46.69,3.62,21.37,0,35.1,False,batch,71.67999999999999
FIN-00125,2026-05-17 21:00,AWS,Ledger Service,dev,eu-central-1,46066.0,71.8,567.8,1.53,97.9138,94.03,48.56,109.12,24.61,16.26,0,70.6,False,asynchrone,149.99
FIN-00126,2026-01-07 19:15,Azure,Kafka Events,dev,francecentral,80204.0,128.5,110.4,0.781,98.4027,58.15,60.78,106.91,15.25,13.08,0,3.9,False,synchrone,135.24
FIN-00127,2026-06-29 16:30,Private Cloud,Ledger Service,staging,eu-central-1,63919.0,147.2,191.8,2.246,98.0531,77.72,47.44,116.56,29.26,16.57,0,23.7,False,batch,162.39
FIN-00128,2026-01-10 14:00,GCP,Risk Engine,prod,eu-central-1,30841.0,401.3,395.1,2.267,98.8403,16.73,88.02,119.81,23.65,4.9,0,40.7,False,asynchrone,148.36
FIN-00129,2026-05-22 13:30,AWS,Reconciliation Job,dev,francecentral,11599.0,463.9,551.5,4.115,98.9936,73.35,23.19,116.32,12.17,14.18,0,29.3,False,batch,142.67
FIN-00130,2026-01-02 17:15,AWS,API Payment,staging,francecentral,12142.0,349.9,434.6,3.601,99.3826,18.56,90.92,123.85,23.67,19.64,0,103.3,False,synchrone,167.15999999999997
FIN-00131,2026-06-20 07:00,GCP,Auth Service,dev,francecentral,50505.0,192.0,588.9,0.118,97.9302,54.19,61.32,82.26,25.74,5.25,0,37.6,False,synchrone,113.25
FIN-00132,2026-02-18 17:30,GCP,Ledger Service,staging,westeurope,62240.0,118.8,282.4,3.039,97.6088,84.04,44.37,130.27,9.43,10.34,0,16.4,False,streaming,150.04000000000002
FIN-00133,2026-02-21 17:45,GCP,Ledger Service,dev,eu-west-1,88868.0,238.7,572.8,2.207,97.3678,19.22,40.7,129.21,18.93,7.37,1,6.8,False,streaming,155.51000000000002
FIN-00134,2026-05-10 11:15,AWS,API Payment,prod,westeurope,49304.0,144.6,435.5,0.706,98.2644,37.8,48.99,94.0,41.65,9.38,1,40.5,False,batch,145.03
FIN-00135,2026-05-04 12:15,GCP,Ledger Service,staging,eu-central-1,2337.0,539.4,383.4,0.843,99.9431,73.91,48.34,103.79,44.96,7.87,1,9.4,True,streaming,156.62
FIN-00136,2026-06-03 12:00,Azure,Reconciliation Job,staging,francecentral,59406.0,166.1,102.8,1.594,99.0117,88.81,80.32,199.43,7.39,15.41,0,23.9,False,batch,222.23
FIN-00137,2026-03-30 11:30,Private Cloud,Reconciliation Job,staging,eu-west-1,59055.0,95.8,1110.8,1.659,98.0926,61.36,58.96,118.53,52.17,1.89,2,20.9,False,streaming,172.58999999999997
FIN-00138,2026-01-18 12:15,Azure,Notification Worker,dev,francecentral,53314.0,395.3,378.9,12.015,98.7263,65.09,70.96,115.0,10.0,19.27,0,19.4,False,batch,144.27
FIN-00139,2026-04-25 17:00,GCP,Notification Worker,dev,eu-central-1,74185.0,130.9,420.4,0.326,98.5836,93.75,59.0,66.18,25.0,7.31,0,26.5,False,synchrone,98.49000000000001
